GeneId.Ensembl;PANC.1;PANC.2;SCR.1;SCR.2;SH.1;SH.2;mock.1;mock.2;mrp4.1;mrp4.2;Xmock.1;Xmock.2;Xmock.3;Xmrp4.1;Xmrp4.2;Xmrp4.3;GeneSymbol
ENSG00000171823.7;302;338;250;278;268;183;343;436;460;537;65;34;95;173;79;195;FBXL14
ENSG00000266043.1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;MIR3649
ENSG00000006831.10;2844;3588;1927;1644;1855;1907;1672;2202;1635;1870;1370;1105;1730;1823;1220;1251;ADIPOR2
ENSG00000243663.1;0;0;0;0;0;1;0;0;0;0;1;0;3;11;2;8;RPS4XP14
ENSG00000151062.15;2;4;1;3;0;1;4;3;1;1;3;0;0;0;0;8;CACNA2D4
ENSG00000166159.11;2;1;0;0;0;0;2;0;2;1;0;0;6;0;0;1;LRTM2
ENSG00000235049.1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LINC00940
ENSG00000151065.14;167;173;101;107;124;110;343;309;285;324;162;212;303;314;262;365;DCP1B
ENSG00000151067.23;1;0;1;1;1;0;50;124;52;61;31;53;68;84;33;37;CACNA1C
ENSG00000256025.2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;CACNA1C-AS4
ENSG00000256271.1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;CACNA1C-AS2
ENSG00000246627.6;0;0;0;0;0;0;0;2;0;1;4;0;0;0;0;0;CACNA1C-AS1
ENSG00000256150.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ITFG2-AS1
ENSG00000274659.3;0;1;0;0;0;0;0;1;3;0;0;0;6;0;0;3;LINC02371
ENSG00000224438.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RPL23AP14
ENSG00000004478.8;3995;3328;3710;3099;2939;3212;5413;5862;6663;6855;2736;2071;3433;5890;4763;5616;FKBP4
ENSG00000258325.2;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;ITFG2-AS1
ENSG00000111203.13;265;224;169;178;194;171;218;176;210;233;125;135;236;253;150;228;ITFG2
ENSG00000053702.15;16;10;8;7;6;5;17;25;14;39;28;6;36;58;16;21;NRIP2
ENSG00000283297.2;1;1;0;0;1;1;3;13;6;15;13;0;0;6;0;6;TEX52
ENSG00000111206.13;2538;3017;2565;2477;2638;2253;1676;2351;1977;2316;477;312;501;1315;565;1114;FOXM1
ENSG00000171792.11;1182;1223;873;751;797;972;923;796;777;936;858;728;1014;879;627;675;RHNO1
ENSG00000078246.17;762;885;665;493;547;517;791;871;730;800;380;296;531;608;503;482;TULP3
ENSG00000252996.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RNU6-1315P
ENSG00000197905.10;1010;833;831;911;824;996;784;873;697;648;485;396;568;789;789;593;TEAD4
ENSG00000011105.14;325;310;104;48;40;32;656;875;740;861;412;376;479;608;451;533;TSPAN9
ENSG00000111218.12;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;PRMT8
ENSG00000287243.2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;THCAT155
ENSG00000130038.10;34;43;20;1;4;1;85;80;57;55;89;117;118;102;48;84;CRACR2A
ENSG00000222338.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RNU6-174P
ENSG00000111224.14;60;96;18;11;8;15;161;214;200;294;212;239;278;272;153;217;PARP11
ENSG00000256862.4;2;2;0;0;0;0;2;2;2;2;0;0;8;0;0;0;PARP11-AS1
ENSG00000242444.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RPL18P9
ENSG00000255920.4;0;0;1;0;0;0;12;10;9;7;5;18;1;5;20;5;CCND2-AS1
ENSG00000118971.9;2;3;7;17;0;0;944;1378;840;851;1719;1604;1813;1545;1352;1096;CCND2
ENSG00000078237.7;122;130;34;40;40;53;308;306;241;287;191;187;280;197;164;171;TIGAR
ENSG00000213970.4;1;0;0;0;0;0;2;2;0;1;0;0;2;0;0;0;RPS15P7
ENSG00000118972.3;0;0;0;0;0;0;0;8;6;4;0;0;1;0;0;0;FGF23
ENSG00000111241.3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;FGF6
ENSG00000047621.12;475;465;366;368;294;367;702;532;781;893;387;389;603;643;372;378;C12orf4
ENSG00000111247.15;394;539;450;418;419;490;1076;991;893;1181;597;848;1197;675;550;577;RAD51AP1
ENSG00000010219.14;267;244;119;108;126;183;209;164;198;234;412;473;432;442;316;371;DYRK4
ENSG00000111254.8;4;5;0;1;0;2;66;55;53;69;16;32;23;54;34;29;AKAP3
ENSG00000139180.11;263;143;184;165;148;160;168;193;221;230;237;265;259;272;247;223;NDUFA9
ENSG00000255474.1;2;1;0;2;0;0;3;2;0;12;14;3;6;8;3;2;GAU1
ENSG00000130035.9;1;0;0;0;0;0;13;18;3;5;22;3;1;12;7;8;GALNT8
ENSG00000256988.2;0;0;0;0;0;0;2;3;2;2;0;0;0;0;0;0;LOC105369614
ENSG00000151079.7;0;1;1;0;0;0;13;40;6;8;0;3;0;0;0;0;KCNA6
ENSG00000111262.6;0;0;0;0;0;0;6;15;4;9;2;5;0;0;5;0;KCNA1
ENSG00000255996.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LOC390282
ENSG00000130037.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;KCNA5
ENSG00000256115.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;LINC02443
ENSG00000185652.12;1;1;1;0;1;0;0;2;0;6;0;0;3;0;0;0;NTF3
ENSG00000047617.17;0;1;0;1;0;0;10;6;8;3;8;3;4;0;2;10;ANO2
ENSG00000110799.14;3;0;3;3;5;1;0;4;2;3;7;8;1;0;0;4;VWF
ENSG00000240533.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RN7SL69P
ENSG00000010278.15;2692;2728;3413;2988;3326;3918;1791;1608;558;805;843;810;1055;689;324;605;CD9
ENSG00000008323.16;9;23;8;3;5;2;0;3;0;0;5;2;6;0;0;0;PLEKHG6
ENSG00000067182.8;3586;4525;2205;1751;1839;1605;1316;1173;1085;1173;888;731;1214;1045;665;990;TNFRSF1A
ENSG00000265388.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RN7SL391P
ENSG00000111319.13;241;333;24;7;5;7;0;12;1;0;2;3;6;16;0;0;SCNN1A
ENSG00000111321.11;21;34;3;0;2;0;0;0;0;0;0;2;0;0;0;0;LTBR
ENSG00000213942.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RPL31P10
ENSG00000215039.8;41;75;31;18;42;63;23;26;17;17;64;62;57;15;45;35;CD27-AS1
ENSG00000139193.4;0;2;0;1;0;0;0;3;0;0;0;0;0;0;0;0;CD27
ENSG00000139192.12;108;123;35;56;84;100;11;14;14;12;15;0;22;0;0;16;TAPBPL
ENSG00000139190.17;114;134;64;44;41;36;201;251;155;265;82;69;92;175;108;162;VAMP1
ENSG00000111639.8;2996;2326;2448;2134;1966;2536;2999;2126;3068;3065;4022;4043;5022;5368;3815;3851;MRPL51
